Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,24.620001,24.889999,24.389999,24.540001,17.243458,44845600
2012-01-04,24.57,25.129999,24.530001,25.110001,17.643978,47504000
2012-01-05,25.059999,25.450001,24.98,25.4,17.847742,49490600
2012-01-06,25.209999,25.4,25.01,25.25,17.742344,36343500
2012-01-09,25.4,25.559999,25.219999,25.469999,17.896935,47478600
2012-01-10,25.709999,25.92,25.51,25.59,17.98126,41060900
2012-01-11,25.43,25.889999,25.34,25.799999,18.128815,57170000
2012-01-12,25.85,25.9,25.540001,25.75,18.093687,44420500
2012-01-13,25.690001,25.719999,25.1,25.139999,17.665052,63313400
2012-01-17,25.18,25.4,24.969999,25.040001,17.594795,60438600
2012-01-18,25.129999,25.48,25.01,25.389999,17.840723,62687000
2012-01-19,25.52,25.68,25.370001,25.629999,18.009363,64946300
2012-01-20,25.870001,26.469999,25.5,26.379999,18.536364,101272500
2012-01-23,26.35,26.889999,26.34,26.709999,18.768244,69663500
2012-01-24,26.700001,26.98,26.610001,26.9,18.901752,56220400
2012-01-25,26.84,26.950001,26.5,26.9,18.901752,54757900
2012-01-26,26.950001,27.0,26.6,26.75,18.79635,61678200
2012-01-27,26.66,26.84,26.59,26.73,18.782297,50587400
2012-01-30,26.51,26.799999,26.27,26.74,18.789322,60694100
2012-01-31,26.790001,26.799999,26.280001,26.42,18.564472,45325300
2012-02-01,26.74,26.84,26.51,26.549999,18.655823,46330600
2012-02-02,26.59,26.74,26.459999,26.49,18.613659,34780300
2012-02-03,26.67,26.950001,26.58,26.74,18.939465,42191600
2012-02-06,26.549999,26.73,26.360001,26.719999,18.925304,36772600
2012-02-07,26.629999,26.74,26.43,26.639999,18.868635,33101300
2012-02-08,26.66,26.99,26.610001,26.85,19.01738,37072100
2012-02-09,26.91,27.0,26.790001,26.860001,19.024464,35754200
2012-02-10,26.74,26.790001,26.450001,26.700001,18.911142,33616000
2012-02-13,26.83,26.84,26.52,26.700001,18.911142,24723000
