Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,3.575,3.6,3.5025,3.51,3.22043,46804400
2012-01-04,3.5125,3.565,3.48,3.55,3.25713,34737200
2012-01-05,3.5325,3.695,3.5175,3.6775,3.374112,56354800
2012-01-06,3.675,3.6775,3.5925,3.635,3.335118,53325200
2012-01-09,3.6375,3.705,3.61,3.635,3.335118,50824400
2012-01-10,3.69,3.6925,3.595,3.62,3.321356,54632800
2012-01-11,3.5875,3.62,3.5325,3.5475,3.254837,48427200
2012-01-12,3.555,3.5575,3.4475,3.525,3.234193,65236400
2012-01-13,3.5,3.5075,3.415,3.4325,3.149324,50430000
2012-01-17,3.485,3.485,3.375,3.38,3.101155,62717600
2012-01-18,3.445,3.5225,3.4275,3.495,3.206667,63267600
2012-01-19,3.525,3.5925,3.4875,3.5875,3.291537,60831200
2012-01-20,3.5825,3.625,3.5425,3.555,3.261718,54627200
2012-01-23,3.5575,3.655,3.5125,3.6525,3.351174,56279200
2012-01-24,3.6275,3.75,3.625,3.735,3.426868,73092000
2012-01-25,3.635,3.7225,3.53,3.7125,3.406225,127415200
2012-01-26,3.7675,3.81,3.6575,3.6775,3.374112,79967200
2012-01-27,3.655,3.7475,3.625,3.7275,3.419987,44999600
2012-01-30,3.6625,3.7175,3.6075,3.7,3.394754,39907600
2012-01-31,3.71,3.7125,3.6275,3.6925,3.387874,35790000
2012-02-01,3.735,3.775,3.6825,3.7325,3.424574,42802000
2012-02-02,3.7525,3.8875,3.715,3.8725,3.553024,69623600
2012-02-03,3.93,3.9875,3.9225,3.955,3.628718,49523200
2012-02-06,3.935,3.94,3.89,3.925,3.601193,27886800
2012-02-07,3.93,3.9575,3.865,3.935,3.610368,41029600
2012-02-08,3.935,4.155,3.915,4.0775,3.741113,84761200
2012-02-09,4.1275,4.15,4.0675,4.075,3.738818,56194400
2012-02-10,4.035,4.05,3.9525,3.975,3.647069,44026800
2012-02-13,4.075,4.09,3.955,4.0375,3.704412,61066800
2012-02-14,4.0375,4.095,4.0025,4.06,3.725056,45375600
2012-02-15,4.0975,4.225,4.0325,4.0425,3.708999,111085600
2012-02-16,3.765,4.145,3.75,4.1125,3.773225,188858800
2012-02-17,4.115,4.1425,3.925,3.9625,3.6356,102036000
2012-02-21,3.96,4.08,3.9525,3.9825,3.65395,51817600
2012-02-22,3.9625,4.06,3.95,3.955,3.628718,49243200
2012-02-23,3.9625,4.0,3.9,3.9775,3.649362,32396800
2012-02-24,3.99,3.995,3.93,3.9475,3.621837,36666800
2012-02-27,3.8975,3.915,3.8125,3.8675,3.548437,74526800
2012-02-28,3.8675,3.9125,3.7925,3.8325,3.516325,69988400
2012-02-29,3.845,3.91,3.785,3.7875,3.475036,68919600
2012-03-01,3.8025,3.8575,3.7875,3.8125,3.497974,44994400
2012-03-02,3.8,3.9,3.8,3.845,3.527793,68407600
2012-03-05,3.8175,3.825,3.6875,3.715,3.408518,51484800
2012-03-06,3.6725,3.7025,3.615,3.68,3.376405,47140000
2012-03-07,3.7,3.7175,3.65,3.7025,3.39705,44198400
2012-03-08,3.7125,3.7525,3.6925,3.715,3.408518,43085200
2012-03-09,3.725,3.7525,3.685,3.705,3.399343,36783600
2012-03-12,3.72,3.745,3.6375,3.6475,3.346586,29994800
2012-03-13,3.6625,3.7175,3.645,3.6975,3.392462,55328800
2012-03-14,3.6975,3.705,3.58,3.5925,3.296124,73570800
2012-03-15,3.6025,3.665,3.59,3.645,3.344293,38238000
2012-03-16,3.6475,3.665,3.6275,3.65,3.348879,42834000
2012-03-19,3.67,3.6875,3.6425,3.66,3.358055,40540000
2012-03-20,3.64,3.64,3.5675,3.6,3.303006,44961600
2012-03-21,3.6,3.6475,3.56,3.615,3.316768,46784000
2012-03-22,3.5875,3.64,3.5775,3.61,3.312181,42537200
2012-03-23,3.6,3.6475,3.575,3.6375,3.337411,31545600
2012-03-26,3.6725,3.6975,3.6375,3.68,3.376405,28860000
2012-03-27,3.695,3.75,3.6875,3.705,3.399343,41996800
2012-03-28,3.7525,3.84,3.725,3.79,3.477329,89244800
2012-03-29,3.785,3.8375,3.7375,3.8075,3.493387,37270000
2012-03-30,3.84,3.8725,3.785,3.85,3.53238,52724000
2012-04-02,3.84,3.8725,3.7775,3.8325,3.516325,40777600
2012-04-03,3.86,3.865,3.75,3.77,3.45898,43047600
2012-04-04,3.7125,3.76,3.64,3.6625,3.360348,49589600
2012-04-05,3.6675,3.7125,3.645,3.6575,3.355761,36942400
2012-04-09,3.6,3.6225,3.54,3.61,3.312181,36550400
2012-04-10,3.595,3.645,3.5225,3.54,3.247955,47036000
2012-04-11,3.5875,3.6625,3.575,3.585,3.289243,37296000
2012-04-12,3.59,3.69,3.575,3.67,3.36723,38486800
2012-04-13,3.6375,3.6575,3.5375,3.54,3.247955,31132400
2012-04-16,3.565,3.575,3.44,3.4975,3.208961,46346800
2012-04-17,3.5075,3.55,3.4925,3.505,3.215843,46069600
2012-04-18,3.4825,3.5,3.425,3.4675,3.181436,40076400
2012-04-19,3.4225,3.5525,3.3975,3.415,3.133267,66718800
2012-04-20,3.435,3.445,3.34,3.3475,3.071337,50959200
2012-04-23,3.29,3.3225,3.2275,3.3075,3.034636,70624400
2012-04-24,3.3175,3.345,3.1875,3.205,2.940592,73044000
2012-04-25,3.2525,3.295,3.1925,3.27,3.00023,72711200
2012-04-26,3.2675,3.3,3.245,3.2725,3.002524,53920800
2012-04-27,3.2675,3.2875,3.21,3.245,2.977292,47535600
2012-04-30,3.2275,3.2675,3.205,3.25,2.981879,26226800
2012-05-01,3.2325,3.3425,3.2325,3.3075,3.034636,40868000
2012-05-02,3.295,3.3075,3.195,3.2125,2.947472,68400800
2012-05-03,3.22,3.24,3.1375,3.1575,2.897011,41953600
2012-05-04,3.1375,3.155,3.065,3.065,2.812142,54509200
2012-05-07,3.12,3.1725,3.0925,3.1175,2.860311,60444000
2012-05-08,3.09,3.135,3.035,3.115,2.858017,46231200
2012-05-09,3.06,3.1525,3.03,3.1275,2.869486,52060800
2012-05-10,3.1575,3.1625,3.055,3.105,2.848842,59709200
2012-05-11,3.3625,3.42,3.29,3.3025,3.03005,143514000
2012-05-14,3.275,3.3325,3.2075,3.2825,3.011698,43747200
2012-05-15,3.2825,3.355,3.235,3.25,2.981879,59994000
2012-05-16,3.255,3.2925,3.175,3.185,2.922242,47048400
2012-05-17,3.1975,3.2275,3.1625,3.1625,2.901598,33536400
2012-05-18,3.17,3.185,3.005,3.02,2.770854,56728800
2012-05-21,3.025,3.0875,3.005,3.0725,2.819023,41626000
2012-05-22,3.07,3.075,2.99,3.035,2.784617,41014000
2012-05-23,3.0025,3.115,2.9575,3.11,2.853429,49600000
2012-05-24,3.1275,3.1325,3.005,3.0275,2.777736,52042000
