Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,4.078,4.156,4.078,4.104,3.75501,636000
2012-01-04,4.016,4.12,4.016,4.086,3.73854,641500
2012-01-05,4.044,4.078,4.024,4.062,3.716582,183000
2012-01-06,3.958,4.032,3.958,3.99,3.650704,166500
2012-01-09,3.958,4.026,3.958,4.024,3.681813,583000
2012-01-10,4.142,4.188,4.142,4.17,3.815398,182000
2012-01-11,4.256,4.338,4.256,4.32,3.952642,91500
2012-01-12,4.358,4.358,4.306,4.34,3.97094,327000
2012-01-13,4.326,4.398,4.322,4.348,3.978261,467000
2012-01-17,4.556,4.57,4.52,4.544,4.157594,350500
2012-01-18,4.64,4.71,4.64,4.704,4.303988,139000
2012-01-19,4.676,4.69,4.64,4.656,4.26007,155500
2012-01-20,4.632,4.696,4.632,4.692,4.293008,276500
2012-01-23,4.648,4.73,4.648,4.712,4.311307,397500
2012-01-24,4.714,4.726,4.69,4.726,4.324117,221000
2012-01-25,4.716,4.776,4.68,4.726,4.324117,272500
2012-01-26,4.78,4.78,4.684,4.684,4.285688,87000
2012-01-27,4.63,4.708,4.63,4.7,4.300328,357000
2012-01-30,4.71,4.78,4.71,4.78,4.373525,189000
2012-01-31,4.86,4.922,4.86,4.88,4.465021,153000
2012-02-01,4.808,4.82,4.718,4.808,4.399144,251500
2012-02-02,4.81,4.848,4.81,4.84,4.428423,197000
2012-02-03,4.78,4.862,4.78,4.836,4.424763,126000
2012-02-06,4.772,4.83,4.77,4.77,4.364375,125500
2012-02-07,4.696,4.786,4.696,4.758,4.353395,124000
2012-02-08,4.848,4.848,4.77,4.77,4.364375,175000
2012-02-09,4.864,4.92,4.864,4.894,4.477831,489000
2012-02-10,4.782,4.782,4.752,4.766,4.360716,332500
2012-02-13,4.818,4.872,4.818,4.832,4.421103,200500
2012-02-14,4.848,4.848,4.772,4.812,4.402804,166500
2012-02-15,4.956,4.99,4.944,4.944,4.523579,178000
2012-02-16,5.122,5.192,5.122,5.19,4.748661,195000
2012-02-17,5.146,5.166,5.082,5.092,4.658994,147500
2012-02-21,4.98,5.07,4.958,4.966,4.543708,149000
2012-02-22,5.062,5.136,5.036,5.046,4.616906,178000
2012-02-23,5.11,5.156,5.104,5.154,4.715721,302000
2012-02-24,5.16,5.168,5.146,5.16,4.72121,317500
2012-02-27,5.04,5.1,5.034,5.082,4.649844,137000
2012-02-28,5.16,5.182,5.14,5.182,4.741341,148000
2012-02-29,5.184,5.29,5.15,5.15,4.712061,270500
2012-03-01,5.176,5.176,5.136,5.16,4.72121,112500
2012-03-02,5.122,5.142,5.12,5.124,4.688272,351500
2012-03-05,5.138,5.138,5.064,5.078,4.646183,83000
2012-03-06,5.032,5.032,4.942,4.95,4.529069,310000
2012-03-07,4.974,5.04,4.974,5.024,4.596775,96500
2012-03-08,5.06,5.112,5.06,5.076,4.644355,740000
2012-03-09,5.08,5.15,5.08,5.096,4.662653,186000
2012-03-12,5.148,5.148,5.1,5.13,4.693762,131500
2012-03-13,5.17,5.19,5.14,5.19,4.748661,132500
2012-03-14,5.218,5.218,5.13,5.18,4.739511,115000
2012-03-15,5.34,5.37,5.308,5.348,4.893225,120500
2012-03-16,5.58,5.6,5.556,5.57,5.096347,1873000
2012-03-19,5.628,5.69,5.628,5.69,5.206141,2202000
2012-03-20,5.566,5.58,5.522,5.578,5.103665,2462500
2012-03-21,5.6,5.6,5.54,5.584,5.109155,1626500
2012-03-22,5.63,5.726,5.602,5.7,5.215292,899500
2012-03-23,5.73,5.73,5.676,5.702,5.217121,129000
2012-03-26,5.71,5.73,5.63,5.702,5.217121,291000
2012-03-27,5.746,5.746,5.656,5.672,5.189672,342000
2012-03-28,5.656,5.666,5.59,5.61,5.132946,272500
2012-03-29,5.558,5.558,5.452,5.508,5.039618,166000
2012-03-30,5.552,5.586,5.534,5.572,5.098176,149000
2012-04-02,5.528,5.648,5.528,5.63,5.151244,629000
